Programa Bolsa Família (PBF) - número de benefícios em dezembro
Sigla,Código,Município,2017,2018,2019,2020,2021,2022,2023,
PE,2607950,Jaqueira,2048,1982,1840,1924,1888,3240,2931,
PE,2608008,Jataúba,4230,4283,4034,3965,3866,5725,5292,
PE,2608057,Jatobá,2206,2177,2131,2285,2258,3043,3012,
PE,2608107,João Alfredo,4715,4421,3948,4190,4296,5638,5442,
PE,2608206,Joaquim Nabuco,2718,3033,2899,2819,2725,4161,4030,
PE,2608255,Jucati,1868,1851,1768,1885,1849,2330,2240,
PE,2608305,Jupi,2464,2521,2336,2442,2393,3051,3150,
PE,2608404,Jurema,2970,2961,2944,2898,2832,4239,4078,
PE,2608453,Lagoa do Carro,2838,2750,2672,2611,2566,3657,3509,
PE,2608503,Lagoa do Itaenga,2703,2599,2535,2786,2887,3462,3175,
PE,2608602,Lagoa do Ouro,2336,2245,2205,2343,2278,2717,2528,
PE,2608701,Lagoa dos Gatos,3178,3325,3187,3131,3052,3884,3716,
PE,2608750,Lagoa Grande,3767,3753,3493,3866,3761,6106,5685,
PE,2608800,Lajedo,6784,6684,6345,6228,6111,9571,9097,
PE,2608909,Limoeiro,8616,8292,7841,8203,7981,9945,9272,
PE,2609006,Macaparana,3187,2953,2746,3021,3068,3754,3839,
PE,2609105,Machados,2130,2162,2084,2175,2142,2865,2697,
PE,2609154,Manari,3794,4024,3900,3836,3758,5487,5311,
PE,2609204,Maraial,2379,2319,2132,2215,2144,2972,2753,
PE,2609303,Mirandiba,2498,2406,2319,2456,2679,3319,3329,
PE,2609402,Moreno,9590,9778,9278,8991,8679,12223,11774,
PE,2609501,Nazaré da Mata,3003,3119,3058,3540,3823,5118,4914,
PE,2609600,Olinda,31048,33048,31760,36775,35422,65201,59088,
PE,2609709,Orobó,3495,3511,3510,3672,3603,4222,4125,
PE,2609808,Orocó,3316,3425,3409,3335,3327,4305,4165,
PE,2609907,Ouricuri,12016,11834,11196,11561,11240,13361,11473,
PE,2610004,Palmares,8931,10261,9952,9658,9387,14052,13004,
PE,2610103,Palmeirina,1908,1846,1722,1694,1647,1865,1779,
PE,2610202,Panelas,4106,4080,3823,4114,4168,5763,5391,
PE,2610301,Paranatama,2639,2807,2661,2616,2606,3303,3334,
PE,2610400,Parnamirim,3146,3037,2872,3112,3086,4146,4098,
PE,2610509,Passira,5028,5098,5004,5330,5292,6860,6665,
PE,2610608,Paudalho,8983,9682,9378,9127,8940,12548,12091,
PE,2610707,Paulista,31522,34918,33586,32499,31294,50228,46541,
PE,2610806,Pedra,4566,4893,4890,4818,4769,6492,6397,
PE,2610905,Pesqueira,12252,13248,13329,13384,13628,17948,16579,
PE,2611002,Petrolândia,5005,5155,4911,5164,5144,6933,6949,
PE,2611101,Petrolina,29824,29529,28122,33590,32355,51636,50754,
PE,2611200,Poção,2797,2694,2594,2536,2495,3511,3283,
PE,2611309,Pombos,5550,5653,5290,5172,5071,6753,6346,
PE,2611408,Primavera,2213,2492,2376,2327,2273,3187,2846,
PE,2611507,Quipapá,3937,3762,3643,3870,3759,4869,4434,
PE,2611533,Quixaba,1226,1157,1082,1104,1066,1312,1312,
PE,2611606,Recife,98511,94129,87394,95964,101525,140833,147619,
PE,2611705,Riacho das Almas,4111,4153,4028,3964,3898,6781,6474,
PE,2611804,Ribeirão,6422,6221,5698,5915,5946,7562,7278,
PE,2611903,Rio Formoso,3352,3128,2898,3108,3021,4427,4111,
PE,2612000,Sairé,2290,2430,2286,2227,2167,2995,2720,
PE,2612109,Salgadinho,1391,1328,1283,1320,1352,1480,1438,
PE,2612208,Salgueiro,7150,7113,6674,7364,7245,10949,10414,
PE,2612307,Saloá,3083,2830,2612,2732,2657,3047,3062,
PE,2612406,Sanharó,3436,3618,3481,3829,3710,5597,5363,
PE,2612455,Santa Cruz,2333,2339,2257,2363,2348,3027,2990,
PE,2612471,Santa Cruz da Baixa Verde,1821,1751,1636,1690,1768,2057,2219,
PE,2612505,Santa Cruz do Capibaribe,11011,13081,12875,12490,12252,23611,21172,
PE,2612554,Santa Filomena,2769,2553,2400,2438,2414,2961,2844,
PE,2612604,Santa Maria da Boa Vista,8834,9120,8618,8449,8361,15289,14648,
PE,2612703,Santa Maria do Cambucá,2678,2868,2835,2776,2751,4592,4333,
PE,2612802,Santa Terezinha,1836,1752,1671,1767,1723,2114,2109,
PE,2612901,São Benedito do Sul,2013,1994,1899,1954,1966,2335,2448,
PE,2613008,São Bento do Una,7218,7382,7187,7661,7948,11409,10478,
PE,2613107,São Caitano,4398,5232,5168,5696,5550,7940,7895,
PE,2613206,São João,4164,4176,4092,4038,3970,5223,4884,
PE,2613305,São Joaquim do Monte,4448,4590,4415,4289,4174,6150,5821,
PE,2613404,São José da Coroa Grande,2634,2743,2578,2812,2720,5114,4845,
PE,2613503,São José do Belmonte,6101,6114,5949,5879,5811,6623,6706,
PE,2613602,São José do Egito,5571,5342,5070,5374,5201,6950,6684,
PE,2613701,São Lourenço da Mata,10911,12049,11740,13429,12969,17787,18175,
PE,2613800,São Vicente Ferrer,2552,2580,2511,2676,2744,3441,3402,
PE,2613909,Serra Talhada,9782,9556,8961,9689,9625,12355,12926,
PE,2614006,Serrita,2997,2930,2863,3032,2976,4140,3852,
PE,2614105,Sertânia,6124,5987,5732,5982,5871,8030,7447,
PE,2614204,Sirinhaém,4750,4641,4535,5003,5065,6813,7073,
PE,2614303,Moreilândia,2391,2321,2264,2223,2206,3867,3720,
PE,2614402,Solidão,983,859,827,876,897,962,948,
PE,2614501,Surubim,10026,10561,9984,9747,9490,12103,11940,
PE,2614600,Tabira,5338,5427,5135,5011,4931,6298,6120,
PE,2614709,Tacaimbó,2891,3037,2893,2814,2708,3092,2937,
PE,2614808,Tacaratu,3023,3241,3167,3390,3401,4588,4301,
PE,2614857,Tamandaré,3120,2936,2807,3133,3097,4421,4419,
PE,2615003,Taquaritinga do Norte,3406,3513,3319,3270,3232,4939,4744,
PE,2615102,Terezinha,1163,1188,1158,1223,1199,1417,1419,
PE,2615201,Terra Nova,1673,1569,1493,1535,1513,1874,1890,
PE,2615300,Timbaúba,5338,5197,4965,5423,5618,8255,8090,
PE,2615409,Toritama,4293,4529,4368,4294,4211,6711,6474,
PE,2615508,Tracunhaém,2453,2251,2214,2332,2294,2964,2699,
PE,2615607,Trindade,5103,5167,4988,4891,4904,8258,7868,
PE,2615706,Triunfo,1985,1957,1901,1967,1879,2366,2404,
PE,2615805,Tupanatinga,4852,5026,4774,4933,4848,6328,6077,
PE,2615904,Tuparetama,1624,1549,1492,1467,1417,2095,1981,
PE,2616001,Venturosa,3043,3007,2800,2912,2860,5228,4725,
PE,2616100,Verdejante,1608,1441,1212,1243,1217,1389,1541,
PE,2616183,Vertente do Lério,1768,1764,1669,1609,1563,2512,2326,
PE,2616209,Vertentes,2708,2753,2681,2632,2577,3917,4043,
PE,2616308,Vicência,3875,3712,3545,3678,3628,4107,3725,
PE,2616407,Vitória de Santo Antão,23573,23849,22673,22062,21521,30073,25629,
PE,2616506,Xexéu,2640,2626,2544,2460,2358,3488,3437,
PE,2699919,Muribeca,,,,,,,,
PE,2699929,Nossa Senhora do Ó de Goyanna,,,,,,,,
PE,2699939,Cimbres,,,,,,,,
